Ride_Id,Start_Location_ID,Stop_Location_ID,MILES,START_DATE,END_DATE,PURPOSE,Category_ID
1,1,1,5.1,2016-01-01 21:11:00,2016-01-01 21:17:00,Meal/Entertain,1
2,1,1,5,2016-01-02 1:25:00,2016-01-02 1:37:00,Meeting,1
3,1,1,4.8,2016-01-02 20:25:00,2016-01-02 20:38:00,Errand/Supplies,1
4,1,1,4.7,2016-01-05 17:31:00,2016-01-05 17:45:00,Meeting,1
5,1,2,63.7,2016-01-06 14:42:00,2016-01-06 15:49:00,Customer Visit,1
6,2,2,4.3,2016-01-06 17:15:00,2016-01-06 17:19:00,Meal/Entertain,1
7,2,110,7.1,2016-01-06 17:30:00,2016-01-06 17:35:00,Meeting,1
8,3,3,0.8,2016-01-07 13:27:00,2016-01-07 13:33:00,Meeting,1
9,3,17,8.3,2016-01-10 8:05:00,2016-01-10 8:25:00,Meeting,1
10,4,5,16.5,2016-01-10 12:17:00,2016-01-10 12:44:00,Customer Visit,1
11,5,111,10.8,2016-01-10 15:08:00,2016-01-10 15:51:00,Meeting,1
12,6,5,7.5,2016-01-10 18:18:00,2016-01-10 18:53:00,Meeting,1
13,7,8,6.2,2016-01-10 19:12:00,2016-01-10 19:32:00,Meeting,1
14,8,112,6.4,2016-01-11 8:55:00,2016-01-11 9:21:00,Temporary Site,1
15,9,7,1.6,2016-01-11 11:56:00,2016-01-11 12:03:00,Errand/Supplies,1
16,7,10,1.7,2016-01-11 13:32:00,2016-01-11 13:46:00,Meal/Entertain,1
17,10,7,1.9,2016-01-11 14:30:00,2016-01-11 14:43:00,Meal/Entertain,1
18,7,11,1.9,2016-01-12 12:33:00,2016-01-12 12:49:00,Meal/Entertain,1
19,11,12,4,2016-01-12 12:53:00,2016-01-12 13:09:00,Meal/Entertain,1
20,12,11,1.8,2016-01-12 14:42:00,2016-01-12 14:56:00,Errand/Supplies,1
21,11,13,2.4,2016-01-12 15:13:00,2016-01-12 15:28:00,Customer Visit,1
22,13,7,2,2016-01-12 15:42:00,2016-01-12 15:54:00,Errand/Supplies,1
23,5,113,15.1,2016-01-12 16:02:00,2016-01-12 17:00:00,Meeting,1
24,3,14,19.4,2016-02-01 10:35:00,2016-02-01 11:15:00,Customer Visit,1
25,14,3,23.3,2016-02-01 12:10:00,2016-02-01 12:43:00,Customer Visit,1
26,15,16,3.9,2016-02-01 12:56:00,2016-02-01 13:07:00,Meal/Entertain,1
27,16,114,8.3,2016-02-02 13:04:00,2016-02-02 13:23:00,Meeting,1
28,3,3,6,2016-02-02 13:51:00,2016-02-02 14:06:00,Errand/Supplies,1
29,3,3,1.6,2016-02-02 14:38:00,2016-02-02 14:42:00,Errand/Supplies,1
30,3,17,5.2,2016-02-04 8:40:00,2016-02-04 9:01:00,Errand/Supplies,1
31,17,3,9.7,2016-02-04 9:37:00,2016-02-04 10:09:00,Meal/Entertain,1
32,3,3,1.6,2016-02-04 10:26:00,2016-02-04 10:32:00,Meal/Entertain,1
33,3,3,1.1,2016-02-04 15:59:00,2016-02-04 16:03:00,Meal/Entertain,1
34,3,3,1.6,2016-02-04 16:35:00,2016-02-04 16:39:00,Meal/Entertain,1
35,16,115,9,2016-02-04 18:04:00,2016-02-04 18:31:00,Meeting,1
36,3,3,7.7,2016-02-04 20:36:00,2016-02-04 20:55:00,Meeting,1
37,3,18,10.4,2016-02-05 11:47:00,2016-02-05 12:07:00,Meeting,1
38,18,3,10.4,2016-02-05 13:22:00,2016-02-05 13:41:00,Meeting,1
39,3,19,11.4,2016-02-06 16:20:00,2016-02-06 16:53:00,Between Offices,1
40,19,3,9,2016-02-06 18:57:00,2016-02-06 19:21:00,Errand/Supplies,1
41,20,16,3.2,2016-02-06 19:28:00,2016-02-06 19:37:00,Meal/Entertain,1
42,3,21,5.6,2016-02-07 16:49:00,2016-02-07 17:01:00,Errand/Supplies,1
43,21,3,5.7,2016-02-07 18:03:00,2016-02-07 18:17:00,Customer Visit,1
44,3,17,6.1,2016-02-07 18:39:00,2016-02-07 18:53:00,Temporary Site,1
45,17,3,6.1,2016-02-07 20:22:00,2016-02-07 20:40:00,Meeting,1
46,16,20,4.3,2016-02-08 12:57:00,2016-02-08 13:08:00,Meal/Entertain,1
47,20,16,2.7,2016-02-08 14:00:00,2016-02-08 14:10:00,Meal/Entertain,1
48,16,15,5.3,2016-02-09 10:54:00,2016-02-09 11:07:00,Meeting,2
49,15,22,3,2016-02-09 11:43:00,2016-02-09 11:50:00,Meeting,2
50,22,23,5.1,2016-02-09 13:36:00,2016-02-09 13:52:00,Meeting,2
51,23,16,1.5,2016-02-09 13:58:00,2016-02-09 14:02:00,Errand/Supplies,2
